Firstname
I haven't received my code where do I find it I haven't received email with my code either I also work in a Supermarket
"The QR scanner doesn't work at any venue I have tried on the isle of wight, so I cant actually sign in anywhere!! It makes it a pointless feature. The rest of the app works as the old app did, which is great. Please sort ot the QR code scanner"
Huawei p30 - it will not allow users to progress beyond the continue button on the entry screen
been to plenty of places in yorkshire nhs track and trace doesnt scan and doesnt help finding the correct track and trace app
